id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
643173,API,Chat,No,No,0,1.0,216,1.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
622240,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
647987,Lead Import,Facebook,No,No,0,,238,,,Select,Unemployed,No,No,No,No,No,No,13.0,14.0,No
593980,API,Chat,No,No,1,0.0,0,0.0,Chat Conversation,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,15.0,No
614695,Landing Page Submission,Google,No,No,0,3.0,990,3.0,Email Opened,Healthcare Management,Unemployed,No,No,No,No,No,No,,,No
594718,API,Chat,No,No,0,0.0,0,0.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
589007,API,Direct Traffic,No,No,0,4.0,233,1.33,Chat Conversation,,,No,No,No,No,No,No,13.0,15.0,No
582353,Landing Page Submission,Google,No,No,1,5.0,68,2.5,Unreachable,Operations Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
583875,API,Chat,No,No,0,0.0,0,0.0,Email Link Clicked,,,No,No,No,No,No,No,15.0,15.0,No
605316,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,No,No,No,No,No,No,,,No
638451,Landing Page Submission,Google,No,No,0,3.0,260,3.0,SMS Sent,Retail Management,Unemployed,No,No,No,No,No,No,10.0,18.0,No
599513,Landing Page Submission,Google,No,No,0,2.0,729,2.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,No
615645,Landing Page Submission,Google,No,No,1,3.0,1010,3.0,SMS Sent,Operations Management,,No,No,No,No,No,No,,,No
621492,Landing Page Submission,Google,No,No,0,4.0,42,4.0,Chat Conversation,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,No
654456,API,Google,No,No,0,2.0,226,2.0,Email Opened,,,No,No,No,No,No,No,13.0,15.0,No
644295,Landing Page Submission,Google,No,No,1,5.0,1489,5.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
